id,site,avg_temp,min_temp,max_temp,canopy_avg,lon,lat,pl,al,ss,sl,sr,sc,region,CHi,CTI_med
1,Fidonisi,19.03618,11.33166,27.94499,0.19,24.3469,40.8653,3,2,0.032,0,0,0,NAS,7.629647781,19.00802223
2,Amouliani NW_Petalo1,19.70112,12.93666,28.28999,21.06,23.9144,40.3412,0,0,0.074666667,0,0,0,NAS,14.55413816,19.1385
3,Astakoi,19.6974,13.04333,28.22333,0,23.944,40.3078,0.666666667,1.333333333,0.138666667,0,0,0,NAS,27.37055372,19.0351861
4,Drenia,19.6974,13.04333,28.22333,0,23.9595,40.3069,1.666666667,0.333333333,0.050666667,0,0,0,NAS,10.62138232,18.98972782
5,Peristeronisi,19.52254,13.47666,27.84666,0,23.8998,39.9625,3,1,0.106666667,0,0,0.013333333,NAS,23.47894522,19.00728389
6,Porto Valitsa,19.68392,13.64666,28.10999,0,23.6833,39.9544,0.666666667,0,0.104,0,0,0,NAS,20.56516862,18.98921455
7,Marathias,19.52254,13.47666,27.84666,0,23.919,39.9478,7.333333333,1.333333333,0.018666667,0,0,0,NAS,6.913307873,18.99097061
8,Sykamia,18.868496,14.323327,25.299994,0,26.3089,39.3755,0,0.6,0.092,0.001333333,0,0.017333333,NAS,19.77746868,19.10408139
9,Gavathas,19.04358,14.95666,25.28166,17.25,25.9706,39.2856,0.3,0,0.02,0,0,0.048,NAS,8.82289129,19.10868984
10,Trachili,19.69868,12.94166,27.75333,0.14,23.1101,39.1605,0.666666667,0.333333333,0.04,0,0,0,NAS,8.102219727,19.004426
11,Mikros mourtias,19.63546,13.84833,27.88833,0.17,23.8365,39.1389,6.333333333,0,0.048,0,0,0.010666667,NAS,13.20788977,18.96937654
12,Bora 2,19.71288,12.90833,27.79166,0.06,23.0684,39.1287,1,0,0,0,0,0,NAS,0.44,18.9603
13,Chrousos,19.2873,14.99499,25.29166,0.06,25.9577,39.1023,0.333333333,1.666666667,0,0,0,0.050666667,NAS,5.265509284,19.07408148
14,Faros,19.56882,12.87833,27.59999,0,23.0505,39.0979,0.666666667,0,0,0,0,0,NAS,0.293333333,18.9603
15,Geroplina,19.56882,12.87833,27.59999,0.22,23.0573,39.0952,0.333333333,0,0.016,0,0,0,NAS,3.265410557,18.96961833
16,Nero,19.55882,12.89999,27.56333,0,23.116,39.087,2.333333333,0,0.04,0,0,0,NAS,8.823526394,18.96592192
17,Ag Vasso_Mantri,19.55882,12.89999,27.56333,0,23.1125,39.0864,0,0,0,0,0,0,NAS,0,NA
18,Fara,19.47595,15.04666,25.82166,25.65,26.4793,38.972,1.8,0.8,0.114666667,0,0,0.009333333,NAS,24.10372938,19.01191672
19,Pouria,19.353182,14.359994,27.148327,39.55,24.584,38.9257,1,0.1,0.024,0,0,0,NAS,5.121723836,18.97773174
20,Atsitsa,19.39239,14.24833,27.40166,35.1,24.4661,38.9172,0,0,0,0,0,0,NAS,0,NA
21,Pefkos,19.35844,14.29333,27.29333,42.6,24.5076,38.8569,0.1,0,0.048,0.001333333,0,0.005333333,NAS,10.02515962,19.06192676
22,Skyros,19.35844,14.29333,27.29333,7.9,24.514,38.8454,3.777777778,0.888888889,0,0,0,0,NAS,1.694293333,18.99042323
23,Skorponeria,19.60734,12.659994,28.26166,15.33,23.3538,38.5061,0,0.666666667,0,0,0,0,NAS,0.024053333,19.0645
24,Pelagonisos,19.57335,15.36999,24.98666,0,25.9404,38.3196,1,0.333333333,0.141333333,0.125333333,0,0.016,NAS,38.28704808,19.1315566
25,Limnionas,19.530256,12.83666,26.983326,37.72,23.9371,38.2885,0.333333333,0,0,0,0,0,NAS,0.146666667,18.9603
26,Mauve Cave_E Evoia,19.471756,13.846661,27.38666,30.24,24.256,38.2859,2,4.333333333,0.056,0,0,0.005333333,NAS,12.484446,19.02712593
